Crossheadmm,LoadN,Timesec
0.0,0.45,0.000
0.02,0.4,0.100
0.03,0.43,0.200
0.05,0.56,0.300
0.07,0.79,0.400
0.08,0.78,0.500
0.1,0.9,0.600
0.12,0.89,0.700
0.13,1.18,0.800
0.15,1.14,0.900
0.17,1.1,1.000
0.18,1.11,1.100
0.2,1.27,1.200
0.22,1.29,1.300
0.23,1.36,1.400
0.25,1.39,1.500
0.27,1.51,1.600
0.28,1.67,1.700
0.3,1.73,1.800
0.32,1.79,1.900
0.33,1.95,2.000
0.35,1.88,2.100
0.37,1.91,2.200
0.38,2.09,2.300
0.4,2.21,2.400
0.42,2.06,2.500
0.43,2.27,2.600
0.45,2.31,2.700
0.47,2.45,2.800
0.48,2.54,2.900
0.5,2.67,3.000
0.52,2.73,3.100
0.53,2.78,3.200
0.55,2.9,3.300
0.57,2.92,3.400
0.58,2.85,3.500
0.6,3.1,3.600
0.62,3.13,3.700
0.63,3.16,3.800
0.65,3.24,3.900
0.67,3.31,4.000
0.68,3.49,4.100
0.7,3.36,4.200
0.72,3.58,4.300
0.73,3.52,4.400
0.75,3.85,4.500
0.77,3.81,4.600
0.78,3.88,4.700
0.8,3.83,4.800
0.82,4.03,4.900
0.83,3.99,5.000
0.85,3.96,5.100
0.87,4.22,5.200
0.88,4.29,5.300
0.9,4.23,5.400
0.92,4.46,5.500
0.93,4.5,5.600
0.95,4.6,5.700
0.97,4.66,5.800
0.98,4.9,5.900
1.0,4.84,6.000
1.02,4.77,6.100
1.03,5.03,6.200
1.05,4.99,6.300
1.07,5.0,6.400
1.08,5.21,6.500
1.1,5.18,6.600
1.12,5.49,6.700
1.13,5.43,6.800
1.15,5.43,6.900
1.17,5.59,7.000
1.18,5.73,7.100
1.2,5.77,7.200
1.22,5.86,7.300
1.23,5.89,7.400
1.25,5.98,7.500
1.27,6.11,7.600
1.28,6.17,7.700
1.3,6.36,7.800
1.32,6.37,7.900
1.33,6.52,8.000
1.35,6.66,8.100
1.37,6.54,8.200
1.38,6.84,8.300
1.4,7.02,8.400
1.42,7.04,8.500
1.43,6.93,8.600
1.45,7.18,8.700
1.47,7.18,8.800
1.48,7.28,8.900
1.5,7.5,9.000
1.52,7.52,9.100
1.53,7.64,9.200
1.55,7.74,9.300
1.57,7.74,9.400
1.58,7.97,9.500
1.6,7.9,9.600
1.62,8.04,9.700
1.63,8.24,9.800
1.65,8.24,9.900
1.67,8.37,10.000
1.68,8.56,10.100
1.7,8.64,10.200
1.72,8.88,10.300
1.73,8.78,10.400
1.75,8.76,10.500
1.77,8.99,10.600
1.78,9.1,10.700
1.8,9.24,10.800
1.82,9.25,10.900
1.83,9.49,11.000
1.85,9.55,11.100
1.87,9.63,11.200
1.88,9.68,11.300
1.9,9.91,11.400
1.92,9.93,11.500
1.93,10.08,11.600
1.95,10.16,11.700
1.97,10.22,11.800
1.98,10.58,11.900
2.0,10.55,12.000
2.02,10.59,12.100
2.03,10.69,12.200
2.05,10.75,12.300
2.07,11.01,12.400
2.08,11.19,12.500
2.1,11.19,12.600
2.12,11.27,12.700
2.13,11.41,12.800
2.15,11.48,12.900
2.17,11.7,13.000
2.18,11.74,13.100
2.2,11.71,13.200
2.22,11.91,13.300
2.23,11.97,13.400
2.25,12.13,13.500
2.27,12.25,13.600
2.28,12.37,13.700
2.3,12.56,13.800
2.32,12.66,13.900
2.33,12.62,14.000
2.35,12.91,14.100
2.37,13.05,14.200
2.38,12.97,14.300
2.4,13.27,14.400
2.42,13.2,14.500
2.43,13.54,14.600
2.45,13.59,14.700
2.47,13.79,14.800
2.48,13.76,14.900
2.5,13.87,15.000
2.52,14.09,15.100
2.53,14.07,15.200
2.55,14.39,15.300
2.57,14.39,15.400
2.58,14.53,15.500
2.6,14.58,15.600
2.62,14.83,15.700
2.63,14.94,15.800
2.65,15.04,15.900
2.67,15.26,16.000
2.68,15.48,16.100
2.7,15.45,16.200
2.72,15.61,16.300
2.73,15.82,16.400
2.75,15.82,16.500
2.77,15.99,16.600
2.78,16.08,16.700
2.8,16.11,16.800
2.82,16.36,16.900
2.83,16.51,17.000
2.85,16.64,17.100
2.87,16.83,17.200
2.88,16.96,17.300
2.9,16.98,17.400
2.92,17.09,17.500
2.93,17.23,17.600
2.95,17.39,17.700
2.97,17.68,17.800
2.98,17.71,17.900
3.0,17.99,18.000
3.02,17.96,18.100
3.03,18.17,18.200
3.05,18.17,18.300
3.07,18.37,18.400
3.08,18.49,18.500
3.1,18.68,18.600
3.12,18.87,18.700
3.13,19.04,18.800
3.15,19.09,18.900
3.17,19.33,19.000
3.18,19.47,19.100
3.2,19.48,19.200
3.22,19.76,19.300
3.23,19.9,19.400
3.25,20.12,19.500
3.27,20.16,19.600
3.28,20.46,19.700
3.3,20.58,19.800
3.32,20.65,19.900
3.33,20.91,20.000
3.35,20.86,20.100
3.37,21.18,20.200
3.38,21.37,20.300
3.4,21.34,20.400
3.42,21.51,20.500
3.43,21.91,20.600
3.45,21.98,20.700
3.47,22.01,20.800
3.48,22.32,20.900
3.5,22.42,21.000
3.52,22.66,21.100
3.53,22.82,21.200
3.55,22.94,21.300
3.57,23.18,21.400
3.58,23.22,21.500
3.6,23.41,21.600
3.62,23.76,21.700
3.63,23.83,21.800
3.65,23.92,21.900
3.67,24.08,22.000
3.68,24.42,22.100
3.7,24.49,22.200
3.72,24.58,22.300
3.73,24.95,22.400
3.75,25.05,22.500
3.77,25.24,22.600
3.78,25.33,22.700
3.8,25.51,22.800
3.82,25.71,22.900
3.83,25.95,23.000
3.85,26.16,23.100
3.87,26.28,23.200
3.88,26.3,23.300
3.9,26.56,23.400
3.92,26.8,23.500
3.93,27.15,23.600
3.95,27.19,23.700
3.97,27.34,23.800
3.98,27.7,23.900
4.0,27.7,24.000
4.02,28.1,24.100
4.03,28.14,24.200
4.05,28.45,24.300
4.07,28.66,24.400
4.08,28.77,24.500
4.1,28.99,24.600
4.12,29.12,24.700
4.13,29.39,24.800
4.15,29.37,24.900
4.17,29.75,25.000
4.18,29.88,25.100
4.2,30.14,25.200
4.22,30.44,25.300
4.23,30.62,25.400
4.25,30.72,25.500
4.27,31.04,25.600
4.28,31.06,25.700
4.3,31.36,25.800
4.32,31.72,25.900
4.33,31.78,26.000
4.35,32.1,26.100
4.37,32.32,26.200
4.38,32.59,26.300
4.4,32.79,26.400
4.42,32.82,26.500
4.43,32.98,26.600
4.45,33.24,26.700
4.47,33.37,26.800
4.48,33.64,26.900
4.5,33.8,27.000
4.52,34.22,27.100
4.53,34.23,27.200
4.55,34.59,27.300
4.57,34.65,27.400
4.58,35.03,27.500
4.6,35.2,27.600
4.62,35.37,27.700
4.63,35.71,27.800
4.65,35.81,27.900
4.67,36.03,28.000
4.68,36.26,28.100
4.7,36.47,28.200
4.72,36.64,28.300
4.73,36.81,28.400
4.75,36.81,28.500
4.77,36.98,28.600
4.78,37.16,28.700
4.8,37.39,28.800
4.82,37.46,28.900
4.83,37.58,29.000
4.85,37.72,29.100
4.87,37.79,29.200
4.88,38.05,29.300
4.9,38.3,29.400
4.92,38.47,29.500
4.93,38.7,29.600
4.95,38.87,29.700
4.97,39.02,29.800
4.98,39.17,29.900
5.0,39.39,30.000
5.02,39.56,30.100
5.03,39.69,30.200
5.05,39.87,30.300
5.07,40.01,30.400
5.08,40.13,30.500
5.1,40.52,30.600
5.12,40.61,30.700
5.13,40.89,30.800
5.15,41.15,30.900
5.17,41.22,31.000
5.18,41.42,31.100
5.2,41.69,31.200
5.22,42.01,31.300
5.23,42.21,31.400
5.25,42.28,31.500
5.27,42.64,31.600
5.28,42.63,31.700
5.3,42.79,31.800
5.32,42.99,31.900
5.33,42.96,32.000
5.35,43.0,32.100
5.37,43.07,32.200
5.38,43.46,32.300
5.4,43.67,32.400
5.42,43.82,32.500
5.43,44.06,32.600
5.45,44.28,32.700
5.47,44.53,32.800
5.48,44.62,32.900
5.5,44.81,33.000
