Crossheadmm,LoadN,Timesec
0.0,0.0,0.000
0.01,1.0,0.100
0.03,1.0,0.200
0.06,1.0,0.300
0.08,1.0,0.400
0.1,1.0,0.500
0.13,1.0,0.600
0.16,1.0,0.700
0.19,1.0,0.800
0.22,1.0,0.900
0.25,2.0,1.000
0.28,2.0,1.100
0.32,2.0,1.200
0.35,2.0,1.300
0.38,2.0,1.400
0.41,3.0,1.500
0.45,4.0,1.600
0.48,4.0,1.700
0.51,4.0,1.800
0.55,4.0,1.900
0.58,5.0,2.000
0.61,5.0,2.100
0.65,5.0,2.200
0.68,6.0,2.300
0.71,7.0,2.400
0.75,7.0,2.500
0.78,7.0,2.600
0.81,7.0,2.700
0.85,8.0,2.800
0.88,9.0,2.900
0.91,9.0,3.000
0.95,10.0,3.100
0.98,11.0,3.200
1.01,12.0,3.300
1.05,13.0,3.400
1.08,14.0,3.500
1.11,15.0,3.600
1.15,17.0,3.700
1.18,19.0,3.800
1.21,21.0,3.900
1.25,23.0,4.000
1.28,26.0,4.100
1.31,30.0,4.200
1.35,33.0,4.300
1.38,37.0,4.400
1.41,41.0,4.500
1.45,45.0,4.600
1.48,48.0,4.700
1.51,52.0,4.800
1.55,56.0,4.900
1.58,60.0,5.000
1.61,65.0,5.100
1.65,70.0,5.200
1.68,75.0,5.300
1.71,80.0,5.400
1.75,86.0,5.500
1.78,90.0,5.600
1.81,97.0,5.700
1.85,102.0,5.800
1.88,109.0,5.900
1.91,116.0,6.000
1.95,123.0,6.100
1.98,130.0,6.200
2.01,137.0,6.300
2.05,145.0,6.400
2.08,152.0,6.500
2.11,160.0,6.600
2.15,167.0,6.700
2.18,176.0,6.800
2.21,183.0,6.900
2.25,191.0,7.000
2.28,199.0,7.100
2.31,207.0,7.200
2.35,216.0,7.300
2.38,225.0,7.400
2.41,235.0,7.500
2.45,244.0,7.600
2.48,254.0,7.700
2.51,263.0,7.800
2.55,273.0,7.900
2.58,283.0,8.000
2.61,292.0,8.100
2.65,302.0,8.200
2.68,312.0,8.300
2.71,322.0,8.400
2.75,331.0,8.500
2.78,343.0,8.600
2.81,352.0,8.700
2.85,361.0,8.800
2.88,372.0,8.900
2.91,382.0,9.000
2.95,391.0,9.100
2.98,401.0,9.200
3.01,412.0,9.300
3.05,421.0,9.400
3.08,431.0,9.500
3.11,442.0,9.600
3.15,451.0,9.700
3.18,461.0,9.800
3.21,470.0,9.900
3.25,480.0,10.000
3.28,489.0,10.100
3.31,498.0,10.200
3.35,508.0,10.300
3.38,517.0,10.400
3.41,526.0,10.500
3.45,536.0,10.600
3.48,545.0,10.700
3.51,553.0,10.800
3.54,554.0,10.900
3.58,553.0,11.000
3.61,560.0,11.100
3.65,567.0,11.200
3.68,572.0,11.300
3.71,577.0,11.400
3.74,586.0,11.500
3.78,589.0,11.600
3.81,590.0,11.700
3.84,591.0,11.800
3.88,586.0,11.900
3.91,587.0,12.000
3.95,590.0,12.100
3.98,591.0,12.200
4.01,590.0,12.300
4.04,591.0,12.400
4.08,594.0,12.500
4.11,490.0,12.600
4.14,428.0,12.700
4.18,410.0,12.800
4.21,401.0,12.900
4.24,403.0,13.000
4.28,405.0,13.100
4.31,407.0,13.200
4.35,407.0,13.300
4.38,401.0,13.400
4.41,400.0,13.500
4.44,401.0,13.600
4.48,402.0,13.700
4.51,405.0,13.800
4.54,404.0,13.900
4.58,400.0,14.000
4.61,398.0,14.100
4.64,396.0,14.200
4.68,385.0,14.300
4.71,381.0,14.400
4.74,336.0,14.500
4.78,312.0,14.600
4.81,290.0,14.700
4.84,257.0,14.800
4.88,247.0,14.900
4.91,240.0,15.000
4.95,231.0,15.100
4.98,229.0,15.200
5.01,226.0,15.300
5.04,223.0,15.400
5.08,222.0,15.500
5.11,221.0,15.600
5.14,206.0,15.700
5.18,178.0,15.800
5.21,171.0,15.900
5.24,169.0,16.000
5.28,165.0,16.100
5.31,161.0,16.200
5.34,142.0,16.300
5.38,133.0,16.400
5.41,123.0,16.500
5.44,122.0,16.600
5.48,119.0,16.700
5.51,114.0,16.800
5.54,102.0,16.900
5.58,94.0,17.000
5.61,90.0,17.100
