Crossheadmm,LoadN,Timesec
0.0,0.22,0.000
0.01,0.43,0.100
0.02,0.01,0.200
0.03,0.25,0.300
0.04,0.18,0.400
0.04,0.25,0.500
0.05,0.04,0.600
0.06,0.29,0.700
0.07,0.2,0.800
0.08,0.27,0.900
0.09,0.07,1.000
0.09,0.43,1.100
0.1,0.2,1.200
0.11,0.15,1.300
0.12,0.06,1.400
0.13,0.15,1.500
0.14,0.23,1.600
0.14,0.09,1.700
0.15,0.16,1.800
0.16,0.16,1.900
0.17,0.06,2.000
0.18,0.31,2.100
0.19,0.16,2.200
0.19,0.19,2.300
0.2,0.34,2.400
0.21,0.35,2.500
0.22,0.26,2.600
0.23,0.3,2.700
0.24,0.1,2.800
0.24,0.43,2.900
0.25,0.4,3.000
0.26,0.57,3.100
0.27,0.51,3.200
0.28,0.69,3.300
0.29,0.94,3.400
0.29,0.78,3.500
0.3,0.91,3.600
0.31,1.26,3.700
0.32,1.55,3.800
0.33,1.83,3.900
0.34,2.1,4.000
0.34,2.33,4.100
0.35,2.63,4.200
0.36,3.09,4.300
0.37,3.51,4.400
0.38,3.66,4.500
0.39,4.19,4.600
0.39,4.32,4.700
0.4,4.55,4.800
0.41,4.86,4.900
0.42,4.98,5.000
0.43,5.4,5.100
0.44,5.81,5.200
0.44,6.26,5.300
0.45,6.9,5.400
0.46,7.27,5.500
0.47,7.9,5.600
0.48,8.46,5.700
0.49,8.9,5.800
0.49,9.29,5.900
0.5,9.97,6.000
0.51,10.33,6.100
0.52,10.99,6.200
0.53,11.43,6.300
0.54,12.14,6.400
0.54,12.69,6.500
0.55,13.43,6.600
0.56,14.12,6.700
0.57,14.68,6.800
0.58,15.5,6.900
0.59,16.34,7.000
0.59,17.09,7.100
0.6,18.12,7.200
0.61,18.98,7.300
0.62,19.73,7.400
0.63,20.74,7.500
0.64,21.66,7.600
0.64,22.58,7.700
0.65,23.76,7.800
0.66,24.77,7.900
0.67,25.7,8.000
0.68,26.59,8.100
0.69,28.07,8.200
0.69,29.14,8.300
0.7,30.2,8.400
0.71,31.55,8.500
0.72,32.74,8.600
0.73,33.8,8.700
0.74,35.3,8.800
0.74,36.44,8.900
0.75,37.63,9.000
0.76,38.92,9.100
0.77,40.18,9.200
0.78,41.52,9.300
0.79,42.94,9.400
0.79,44.24,9.500
0.8,45.63,9.600
0.81,46.73,9.700
0.82,48.31,9.800
0.83,49.7,9.900
0.84,51.0,10.000
0.84,52.38,10.100
0.85,53.9,10.200
0.86,55.28,10.300
0.87,56.84,10.400
0.88,58.35,10.500
0.89,59.83,10.600
0.89,61.29,10.700
0.9,62.85,10.800
0.91,64.43,10.900
0.92,65.89,11.000
0.93,67.41,11.100
0.94,69.1,11.200
0.94,70.65,11.300
0.95,72.23,11.400
