Crossheadmm,LoadN,Timesec
0.0,0.0,0.000
0.03,1.0,0.100
0.06,1.0,0.200
0.1,1.0,0.300
0.13,1.0,0.400
0.16,1.0,0.500
0.2,1.0,0.600
0.23,1.0,0.700
0.26,1.0,0.800
0.3,1.0,0.900
0.33,1.0,1.000
0.36,1.0,1.100
0.39,1.0,1.200
0.43,1.0,1.300
0.46,1.0,1.400
0.5,1.0,1.500
0.53,1.0,1.600
0.56,1.0,1.700
0.6,1.0,1.800
0.63,1.0,1.900
0.66,1.0,2.000
0.7,1.0,2.100
0.73,1.0,2.200
0.76,1.0,2.300
0.8,1.0,2.400
0.83,1.0,2.500
0.86,1.0,2.600
0.9,1.0,2.700
0.93,1.0,2.800
0.96,1.0,2.900
1.0,1.0,3.000
1.03,1.0,3.100
1.06,1.0,3.200
1.1,1.0,3.300
1.13,1.0,3.400
1.16,1.0,3.500
1.2,1.0,3.600
1.23,1.0,3.700
1.26,1.0,3.800
1.3,2.0,3.900
1.33,2.0,4.000
1.36,2.0,4.100
1.4,2.0,4.200
1.43,2.0,4.300
1.46,2.0,4.400
1.5,2.0,4.500
1.53,2.0,4.600
1.56,2.0,4.700
1.6,2.0,4.800
1.63,2.0,4.900
1.66,2.0,5.000
1.7,2.0,5.100
1.73,2.0,5.200
1.76,2.0,5.300
1.79,2.0,5.400
1.83,2.0,5.500
1.86,2.0,5.600
1.89,2.0,5.700
1.93,2.0,5.800
1.96,2.0,5.900
2.0,2.0,6.000
2.03,2.0,6.100
2.06,2.0,6.200
2.09,2.0,6.300
2.13,2.0,6.400
2.16,2.0,6.500
2.19,2.0,6.600
2.23,2.0,6.700
2.26,2.0,6.800
2.29,2.0,6.900
2.33,3.0,7.000
2.36,3.0,7.100
2.39,3.0,7.200
2.43,3.0,7.300
2.46,3.0,7.400
2.5,3.0,7.500
2.53,3.0,7.600
2.56,4.0,7.700
2.59,4.0,7.800
2.63,4.0,7.900
2.66,4.0,8.000
2.69,4.0,8.100
2.73,4.0,8.200
2.76,4.0,8.300
2.79,4.0,8.400
2.83,4.0,8.500
2.86,4.0,8.600
2.89,4.0,8.700
2.93,4.0,8.800
2.96,4.0,8.900
2.99,4.0,9.000
3.03,4.0,9.100
3.06,4.0,9.200
3.09,4.0,9.300
3.13,4.0,9.400
3.16,4.0,9.500
3.19,4.0,9.600
3.23,5.0,9.700
3.26,5.0,9.800
3.29,5.0,9.900
3.33,5.0,10.000
3.36,5.0,10.100
3.39,5.0,10.200
3.43,5.0,10.300
3.46,5.0,10.400
3.49,5.0,10.500
3.53,5.0,10.600
3.56,5.0,10.700
3.59,5.0,10.800
3.63,5.0,10.900
3.66,6.0,11.000
3.69,6.0,11.100
3.73,6.0,11.200
3.76,6.0,11.300
3.79,6.0,11.400
3.82,6.0,11.500
3.86,7.0,11.600
3.89,7.0,11.700
3.93,7.0,11.800
3.96,7.0,11.900
3.99,7.0,12.000
4.03,7.0,12.100
4.06,7.0,12.200
4.09,7.0,12.300
4.12,7.0,12.400
4.16,7.0,12.500
4.19,7.0,12.600
4.22,7.0,12.700
4.26,7.0,12.800
4.29,7.0,12.900
4.33,7.0,13.000
4.36,7.0,13.100
4.39,7.0,13.200
4.43,7.0,13.300
4.46,8.0,13.400
4.49,8.0,13.500
4.53,8.0,13.600
4.56,8.0,13.700
4.59,8.0,13.800
4.63,8.0,13.900
4.66,9.0,14.000
4.69,9.0,14.100
4.72,9.0,14.200
4.76,9.0,14.300
4.79,9.0,14.400
4.82,9.0,14.500
4.86,9.0,14.600
4.89,9.0,14.700
4.93,9.0,14.800
4.96,9.0,14.900
4.99,9.0,15.000
5.02,9.0,15.100
5.06,9.0,15.200
5.09,9.0,15.300
5.12,9.0,15.400
5.16,9.0,15.500
5.19,9.0,15.600
5.22,9.0,15.700
5.26,9.0,15.800
5.29,9.0,15.900
5.32,9.0,16.000
5.36,9.0,16.100
5.39,9.0,16.200
5.42,9.0,16.300
5.46,9.0,16.400
5.49,9.0,16.500
5.52,9.0,16.600
5.56,9.0,16.700
5.59,9.0,16.800
5.62,9.0,16.900
5.66,9.0,17.000
5.69,9.0,17.100
5.72,10.0,17.200
5.76,10.0,17.300
5.79,10.0,17.400
5.82,10.0,17.500
5.86,10.0,17.600
5.89,10.0,17.700
5.92,10.0,17.800
5.96,10.0,17.900
5.99,10.0,18.000
6.02,10.0,18.100
6.06,10.0,18.200
6.09,10.0,18.300
6.12,10.0,18.400
6.15,10.0,18.500
6.19,11.0,18.600
6.22,11.0,18.700
6.26,11.0,18.800
6.29,11.0,18.900
6.32,11.0,19.000
6.36,11.0,19.100
6.39,11.0,19.200
6.42,12.0,19.300
6.46,12.0,19.400
6.49,12.0,19.500
6.52,12.0,19.600
6.55,12.0,19.700
6.59,12.0,19.800
6.62,12.0,19.900
6.65,12.0,20.000
6.69,12.0,20.100
6.72,12.0,20.200
6.75,12.0,20.300
6.79,12.0,20.400
6.82,12.0,20.500
6.86,12.0,20.600
6.89,12.0,20.700
6.92,12.0,20.800
6.96,12.0,20.900
6.99,12.0,21.000
7.02,12.0,21.100
7.05,12.0,21.200
7.09,12.0,21.300
7.12,12.0,21.400
7.15,12.0,21.500
7.19,12.0,21.600
7.22,12.0,21.700
7.26,12.0,21.800
7.29,12.0,21.900
7.32,12.0,22.000
7.35,12.0,22.100
7.39,12.0,22.200
7.42,12.0,22.300
7.45,12.0,22.400
7.49,12.0,22.500
7.52,11.0,22.600
7.56,11.0,22.700
7.59,11.0,22.800
7.62,11.0,22.900
7.66,11.0,23.000
7.69,10.0,23.100
7.72,10.0,23.200
7.75,10.0,23.300
7.79,10.0,23.400
7.82,10.0,23.500
7.85,10.0,23.600
7.89,10.0,23.700
7.92,11.0,23.800
7.95,11.0,23.900
7.99,11.0,24.000
8.02,11.0,24.100
8.05,12.0,24.200
8.09,12.0,24.300
8.12,12.0,24.400
8.15,12.0,24.500
8.19,12.0,24.600
8.22,12.0,24.700
8.26,13.0,24.800
8.29,13.0,24.900
8.32,13.0,25.000
8.36,13.0,25.100
8.39,13.0,25.200
8.42,13.0,25.300
8.45,13.0,25.400
8.49,14.0,25.500
8.52,14.0,25.600
8.55,14.0,25.700
8.59,14.0,25.800
8.62,14.0,25.900
8.65,14.0,26.000
8.69,14.0,26.100
8.72,14.0,26.200
8.75,14.0,26.300
8.79,14.0,26.400
8.82,14.0,26.500
8.85,14.0,26.600
8.89,14.0,26.700
8.92,15.0,26.800
8.95,15.0,26.900
8.99,15.0,27.000
9.02,15.0,27.100
9.05,15.0,27.200
9.09,15.0,27.300
9.12,16.0,27.400
9.15,16.0,27.500
9.19,16.0,27.600
9.22,16.0,27.700
9.25,16.0,27.800
9.29,16.0,27.900
9.32,16.0,28.000
9.35,17.0,28.100
9.39,17.0,28.200
9.42,18.0,28.300
9.45,18.0,28.400
9.49,18.0,28.500
9.52,18.0,28.600
9.55,19.0,28.700
9.59,19.0,28.800
9.62,19.0,28.900
9.65,20.0,29.000
9.69,20.0,29.100
9.72,20.0,29.200
9.75,21.0,29.300
9.79,21.0,29.400
9.82,21.0,29.500
9.85,21.0,29.600
9.89,22.0,29.700
9.92,22.0,29.800
9.95,22.0,29.900
9.99,23.0,30.000
10.02,23.0,30.100
10.05,23.0,30.200
10.09,23.0,30.300
10.12,24.0,30.400
10.15,24.0,30.500
10.19,24.0,30.600
10.22,25.0,30.700
10.25,25.0,30.800
10.29,25.0,30.900
10.32,26.0,31.000
10.35,26.0,31.100
10.39,26.0,31.200
10.42,27.0,31.300
10.45,27.0,31.400
10.49,27.0,31.500
10.52,28.0,31.600
10.55,28.0,31.700
10.59,29.0,31.800
10.62,29.0,31.900
10.65,30.0,32.000
10.69,30.0,32.100
10.72,30.0,32.200
10.75,31.0,32.300
10.79,31.0,32.400
10.82,31.0,32.500
10.85,32.0,32.600
10.89,32.0,32.700
10.92,32.0,32.800
10.95,32.0,32.900
10.99,33.0,33.000
11.02,34.0,33.100
11.05,34.0,33.200
11.09,34.0,33.300
11.12,34.0,33.400
11.15,35.0,33.500
11.19,35.0,33.600
11.22,36.0,33.700
11.25,36.0,33.800
11.29,36.0,33.900
11.32,37.0,34.000
